,Name,Distance,Mass,Radius
124,2MASS J03205965+1854233,0.11817744999999999,0.084003744,47.0
125,2MASS J03231002-4631237,0.17058658,0.021955524,192.0
126,SDSS J032553.17+042540.1,0.09762484999999999,0.04295646,59.0
127,2MASS J03264225-2102057 [de],0.13359189999999999,0.017182584,80.0
128,2MASS J03284265+2302051 [de],0.10070773999999999,0.051547752,98.0
129,2MASS J03341218-4953322,0.10687352,0.069684924,27.0
130,LP 944-20,0.14695108999999998,0.069684924,20.9
131,2MASP J0345432+254023,0.10790115,0.070639512,88.0
132,Teide 1,0.38844413999999994,0.05250234,380.0
133,2MASS J03510004-0052452,0.13050900999999998,0.09736797600000001,48.0
134,2MASS J03552337+1133437,0.13564716,0.01909176,29.8
135,2MASS J04151954−0935066,0.09762484999999999,0.028637640000000002,18.6
136,2MASS J04285096-2253227 [de],0.11201167000000001,0.07636704,85.0
137,2MASS J04351612-1606574,0.12948137999999998,0.0954588,34.0
138,2MASS J04362788-4114465,0.20244310999999998,0.037228932,142.0
139,2MASS J04390101-2353083 [de],0.09968010999999999,0.045820224,29.5
140,2MASS J04433764+0002040,0.18291813999999998,0.021000936,82.0
141,2MASS J04455387-3048204 [de],0.102763,0.061093632,42.0
142,2MASS J04510093-3402150 [de],0.10687352,0.068730336,69.0
143,2MASS J05002100+0330501 [de],0.102763,0.061093632,44.0
144,2MASS J05012406-0010452 [de],0.14181293999999997,0.020046348000000002,64.0
145,2MASS J05160945-0445499 [de],0.09968010999999999,0.044865636,73.0
146,2MASS J0523−1403,0.10379063,0.064911984,40.0
147,SDSS J053951.99-005902.0,0.10379063,0.058229868000000004,41.62
148,LSR 0602+3910 [de],0.14489582999999998,0.026728464,34.6
149,2MASS J06085283-2753583,0.15517213,0.036274344,102.0
150,2MASS J06244595-4521548 [de],0.10173536999999999,0.053456928,39.0
151,2MASS J06411840-4322329 [de],0.10379063,0.063957396,65.0
152,DENIS-P J0652197-253450 [de],0.10790115,0.07159410000000001,51.0
153,2MASS J07075327-4900503,0.10584589,0.068730336,60.0
154,UGPS J072227.51-054031.2,0.10070773999999999,0.024819288000000002,13.4
155,2MASSI J0727182+171001 [de],0.09659721999999998,0.039138108,29.6
156,2MASS J07290002-3954043 [de],0.09659721999999998,0.035319756,25.8
157,SDSS J074201.41+205520.5 [de],0.09659721999999998,0.041047284,49.0
158,DENIS-P J0751164-253043 [de],0.10584589,0.067775748,55.0
159,2MASS J07522390+1612157,0.20655362999999996,0.064911984,60.0
160,DENIS J081730.0-615520,0.09659721999999998,0.042001872,16.1
161,2MASS J08251968+2115521 [de],0.10070773999999999,0.049638576000000004,35.0
162,SDSSp J083008.12+482847.4 [de],0.10173536999999999,0.045820224,43.0
163,LHS 2021,0.11817744999999999,0.084003744,55.0
164,SDSS J083048.80+012831.1 [de],0.09865247999999999,0.043911048,77.0
165,2MASSI J0835425-081923 [de],0.102763,0.059184456,23.53
166,2MASSI J0847287-153237 [de],0.102763,0.061093632,43.0
167,2MASS J08533619-0329321,0.10995641,0.073503276,27.6
168,2MASSI J0859254-194926 [de],0.10070773999999999,0.0477294,50.0
169,2MASSI J0937347+293142,0.09659721999999998,0.040092696000000004,20.0
170,2MASS 0939−2448,0.09762484999999999,0.030546816,17.4
171,2MASS J09490860-1545485 [de],0.09865247999999999,0.046774812,59.0
172,2MASS J10073369-4555147,0.09659721999999998,0.042001872,46.0
173,2MASSI J1010148-040649 [de],0.10070773999999999,0.048683988000000004,55.0
174,2MASS J10224821+5825453 [de],0.14489582999999998,0.025773876,60.0
175,2MASSW J1036530-344138 [de],0.09968010999999999,0.046774812,53.0
176,2MASS J1047538+212423 [de],0.09659721999999998,0.040092696000000004,34.4
177,DEN 1048-3956,0.10995641,0.073503276,13.15
178,Luhman 16B,0.10481826,0.041047284,6.516
179,Luhman 16A,0.10379063,0.03818352,6.516
180,DENIS-P J1058.7−1548,0.102763,0.061093632,49.0
181,TWA 28,0.24560357,0.034365168,180.0
182,Cha 110913-773444,0.18497339999999998,0.007636704,163.0
183,SDSS J111010.01+011613.1,0.12742612,0.008591292,63.0
184,2MASS J11145133−2618235,0.09865247999999999,0.031501404000000004,18.2
185,TWA 26,0.2260786,0.028637640000000002,137.0
186,2MASS J11544223-3400390 [de],0.1541445,0.035319756,129.0
187,2MASSW J1155395-372735 [de],0.102763,0.061093632,31.0
188,2MASS J12074836-3900043,0.17572473,0.016227996,217.0
189,2MASSI J1217110-031113 [de],0.09659721999999998,0.040092696000000004,36.0
190,2M 1237+6526,0.09659721999999998,0.039138108,45.6
191,TWA 29,0.205526,0.0238647,262.0
192,SDSSp J125453.90-012247.4 [de],0.10070773999999999,0.044865636,38.0
193,Kelu-1A,0.10070773999999999,0.060139044,61.0
194,Kelu-1B,0.10070773999999999,0.055366104,61.0
195,2MASS J13204427+0409045,0.10379063,0.063957396,101.0
196,SDSSp J132629.82-003831.5 [de],0.09968010999999999,0.048683988000000004,65.0
197,SDSSp J134646.45-003150.4 [de],0.09659721999999998,0.042001872,48.0
198,2MASS J13595510-4034582,0.102763,0.060139044,51.0
199,ULAS J141623.94+134836.3,0.09865247999999999,0.030546816,29.7
200,SDSS J141659.78+500626.4 [de],0.10173536999999999,0.056320692,149.0
201,DENIS-P J142527.97-365023.4 [de],0.13564716,0.020046348000000002,38.0
202,LHS 2924,0.10892878,0.072548688,38.5
203,2MASS J14392837+1929150,0.10584589,0.068730336,47.0
204,LSPM J1440+1339,0.12228796999999998,0.087822096,72.0
205,2MASS J14482563+1031590 [de],0.10173536999999999,0.056320692,47.0
206,CFBDSIR 1458+10A,0.1541445,0.0105959268,104.0
207,CFBDSIR 1458+10B,0.13359189999999999,0.008591292,104.0
208,TVLM 513-46546,0.10790115,0.07159410000000001,35.1
209,2MASS 1503+2525,0.09659721999999998,0.042001872,20.7
210,CFBDS J150411+102717,0.09659721999999998,0.042001872,71.0
211,2MASSW J1506544+132106 [de],0.10481826,0.065866572,46.0
212,2MASS 1507−1627,0.10173536999999999,0.057275280000000005,23.9
213,TVLM 868-110639,0.11098404,0.075412452,53.0
214,2MASSW J1515008+484742 [de],0.10173536999999999,0.054411516,34.0
215,2MASSI J1526140+204341 [de],0.10070773999999999,0.051547752,67.0
216,DENIS-P J153941.96-052042.4 [de],0.102763,0.060139044,51.0
217,2MASS J15462718-3325111 [de],0.09659721999999998,0.042001872,37.0
218,2MASSW J1552591+294849 [de],0.14695108999999998,0.028637640000000002,68.0
219,2MASSW J1555157-095605 [de],0.10584589,0.067775748,44.0
220,2MASS J16150413+1340079 [de],0.09659721999999998,0.040092696000000004,48.0
221,SDSSp J162414.37+002915.6 [de],0.09659721999999998,0.041047284,36.0
222,2MASS J16262034+3925190 [de],0.10584589,0.067775748,110.0
223,2MASSW J1632291+190441 [de],0.09968010999999999,0.046774812,50.0
224,WISEPA J164715.59+563208.2,0.09659721999999998,0.039138108,28.0
225,LSPM J1658+7027 [de],0.10687352,0.069684924,60.0
226,2MASSI J1726000+153819,0.14386819999999997,0.022910112,114.0
227,SDSSp J175032.96+175903.9,0.09968010999999999,0.044865636,90.0
228,2MASS J18283572-4849046,0.09762484999999999,0.04295646,39.0
229,LSR J1835+3259,0.10995641,0.073503276,18.5
230,2MASSW J1841086+311727,0.10379063,0.063957396,138.0
231,2MASS J18432213+4040209,0.12537086,0.091640448,46.0
232,2MASS J20004841-7523070,0.19319443999999997,0.0238647,105.0
233,SDSS J204749.61-071818.3,0.09865247999999999,0.043911048,65.0
234,2MASSI J2057540-025230,0.10481826,0.06682116,47.0
235,2MASSI J2104149-103736,0.10481826,0.065866572,62.0
236,PSO J318.5−22,0.15722739,0.0062048220000000005,80.0
237,HB 2124-4228,0.12434322999999999,0.089731272,113.0
238,2MASS J21392676+0220226,0.09865247999999999,0.043911048,32.1
239,2MASS J21481628+4003593,0.10173536999999999,0.05250234,26.3
240,2MASSW J2206450-421721,0.13667479,0.021000936,93.0
241,2MASSW J2208136+292121,0.14489582999999998,0.025773876,154.0
242,2MASSW J2224438-015852,0.10173536999999999,0.058229868000000004,38.0
243,2MASS J22282889-4310262,0.09659721999999998,0.040092696000000004,35.0
244,2MASS J22373255+3922398,0.10687352,0.069684924,64.0
245,2MASSW J2244316+204343,0.13256426999999998,0.011455056,56.0
246,2MASS J23224684-3133231,0.14284056999999997,0.022910112,56.0
247,2MASS J23225299-6151275,0.16339317,0.016227996,148.0
248,2MASS J23515044-2537367,0.11920507999999998,0.084003744,67.0
249,2MASSI J2356547-155310,0.11201167000000001,0.07636704,74.0
250,WISE 0410+1502,0.12023270999999998,0.005727528,20.0
251,WISE 0458+6434A,0.4316046,0.014318820000000001,35.9
252,WISE 0458+6434B,0.39049939999999994,0.00954588,35.9
253,WISE 1405+5534,0.08837618,0.028637640000000002,25.3
